OBJECTID,record_id,date_opened,record_status,date_closed,address,record_type,record_type_category,record_type_group,record_type_subtype,record_type_type,record_type_4level,record_name,description,planner_id,module
"4,594",2018-011406PRJ,08/28/2018 12:00:00 AM +0000,Under Review,,3550 WEBSTER ST 94123,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,3550 WEBSTER ST,Legalization of ground floor unit 43-14,DWEISSGL,Planning
"3,938",2018-012595PIC,09/13/2018 12:00:00 AM +0000,Consultation,,105 CYPRESS ST 94110,PIC Research (PIC),PIC,Planning,PIC Research,Research,Planning/Research/PIC Research/PIC,105 Cypress St,(N) ADU AT (E) GARAGE AND (E) STORAGE PER ORD. NO. 162-16.,DWEISSGL,Planning
"15,721",2017-014443PRJ,11/08/2017 12:00:00 AM +0000,Under Review,,301 POWELL ST 94102,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,335 POWELL ST,DEMOLITION OF (E) ADMIN OFFICES & STAIR. DEMOLITION OF (E) LIGHTWELL WALL & (E) INFILL ROOFTO EXPAND (E) LIGHTWELL. (N) GUESTROOMS & STORAGE IN FORMER ADMIN SPACE. (N) FINISHES TO MATCH (E). INSTALL (N) LIGHTING & PLUMBING FIXTURES. (N) ROOF STRUCTURE @ LIGHTWELL & (N) WINDOW. (N) MECH UNIT ON ROOF,RSALGADO,Planning
"6,134",2018-009955PRJ,07/19/2018 12:00:00 AM +0000,Under Review,,2562 POST ST 94115,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,2562 POST ST,"ADD 2 ADU WITHIN THE (E) BUILDING ENVELOPE TO THE GROUND FLOOR OF AN (E) 8 UNITS. NO STRUCTURAL. GARAGE INFILL AT FRONT TO INCLUDE ALUMINUM CLAD WOOD WINDOWS, INFILL GARAGE AT REAR WITH WINDOWS AND DOORS, REMOVAL OF  PARKING SPACES. ALL BEARING & SHEAR ADDRESSED BY SEISMIC RETROFIT PA# 2017/08/21/5426 (ORDINANCE# 162-16)",MCHANDLE,Planning
"1,097",2018-015917PRJ,11/26/2018 12:00:00 AM +0000,Under Review,,125 JULIAN AVE 94103,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,125 -127 Julian Avenue,"REPLACE (E) WINDOWS & DOORS IN KIND, ADDING UNCONDITIONED BASEMENT GARAGE W/ INTERIOR STAIRCASE & ADDING PROPERTY LINE FIREWALL AND REPLACING REAR EGRESS STAIRS",RSUCRE,Planning
"66,206",2014.0254,02/18/2014 12:00:00 AM +0000,Under Review,,"1003 PAGE ST, SAN FRANCISCO, CA 94117",Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,1003 PAGE ST,Convert Residential units to Tourist Hotel over Commercial,,Planning
"11,202",2018-003466PRJ,03/12/2018 12:00:00 AM +0000,Under Review,,1318 18TH AVE 94122,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,1318 18TH AVE,"Legalize 600 sf 2 bedroom unit at ground floor of front building (Building A) per ORD # 43-14.
NSR#2018K623932 recorded 6/7/18",MCHANDLE,Planning
"40,835",2016-002539PRJ,02/24/2016 12:00:00 AM +0000,Open,,1201 BRYANT ST 94103,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,1201 Bryant Street,"Proposed seismic upgrade, (N) exterior paint, window refurbishment, elevator replacement, building systems upgrade, (N) entrance.",,Planning
47,2018-017216PRJ,12/24/2018 12:00:00 AM +0000,Accepted,,774 39TH AVE 94121,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,774 39TH AVE,"REV TO 201612296205, REDUCE # WINDOWS, ELIMINATION SOUTH SIDE TOP WINDOW, REDUCE BEDRM CLOSETS FROM 2 TO 1, ELIMINATE SOUTH SIDE BOTTOM WINDOW, ELIMINATE NORTH FACING WINDOW, CHANGE STAIRRAIL, WINDOW FINISH PER PLANNING.REDUCED ELECTRICAL.",EGORDON,Planning
"18,821",2017-010946PIC,08/25/2017 12:00:00 AM +0000,Open,,1415 CLAY ST 94109,PIC Research (PIC),PIC,Planning,PIC Research,Research,Planning/Research/PIC Research/PIC,1415 Clay - Legalizaiton,legalization per Ord 43-14,MBOUDREA,Planning
"2,315",2018-014459PIC,10/23/2018 12:00:00 AM +0000,Consultation,,1254 LEAVENWORTH ST 94109,PIC Research (PIC),PIC,Planning,PIC Research,Research,Planning/Research/PIC Research/PIC,1256 Leavenworth Street,Legalize existing unit on first floor,MCHANDLE,Planning
"25,160",2017-000275PRJ,03/29/2017 12:00:00 AM +0000,Submitted,,921 HOWARD ST 94103,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,921 HOWARD ST,"The proposed project includes construction of a new 180' High-Rise, eighteen story, mixed-use residential tower and podium containing approximately 205 residential units. Off-street parking will be located at the ground floor with access from Tehama St. and a 2nd floor podium terrace will provide open space for residents. The structure will be a type I with concrete frame and shear walls. There will be no below grade structure beyond foundations, shoring and utilities.
The PPA was submitted on 1/5/17 and the 90 day deadline is 4/5/17.",VBYRD,Planning
133,2018-012638PRJ,12/20/2018 12:00:00 AM +0000,Accepted,,315 MOUNT VERNON AVE 94112,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,315 Mount Vernon,ADU per C6 at the rear of the garage,MBOUDREA,Planning
305,2018-016890ZAV,12/17/2018 12:00:00 AM +0000,Under Review,,816 MCALLISTER ST 94102,Zoning Administrator Verification Letter (ZAV),ZAV,Planning,Letters,Research,Planning/Research/Letters/ZAV,816 McAllister Street - ZAV Request,Zoning Verification Letter Request,DBROSKY,Planning
"63,782",2014.0844N,06/05/2014 12:00:00 AM +0000,TDR Letter Issued,11/21/2014 12:00:00 AM +0000,"1000 MARKET ST, SAN FRANCISCO, CA 94102",Certificate of Transfer-TDR (TDT),TDT,Planning,Letters,Research,Planning/Research/Letters/TDT,1000 MARKET ST,Certificate of Transfer for Transferable Development Rights (from a Transfer Lot),KGUY,Planning
166,2018-017043PIC,12/19/2018 12:00:00 AM +0000,Open,,2371 PACIFIC AVE 94115,PIC Research (PIC),PIC,Planning,PIC Research,Research,Planning/Research/PIC Research/PIC,2373 PACIFIC AVENUE,Legalization,DGANETSO,Planning
"79,463",10152ZAD,01/17/2012 12:00:00 AM +0000,Accepted,,39 ARKANSAS ST 94107,Zoning Administrator Determination Letter (ZAD),ZAD,Planning,Letters,Research,Planning/Research/Letters/ZAD,1 Arkansas (aka 39-41 Arkansas) - EN Legitimization Request,Eastern Neighborhoods Legitimization Letter,CTEAGUE,Planning
"19,575",2017-010069PRJ,08/07/2017 12:00:00 AM +0000,Open,,3830 NORIEGA ST 94122,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,3830 NORIEGA ST,"Front faade alteration; new windows and doors, insulated wall, new exterior finishes and planter. Reference BPA# 201610240989.",ESAMONSK,Planning
"26,722",2016-009102PRJ,02/21/2017 12:00:00 AM +0000,Open,,330 TOWNSEND ST 94107,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,330 TOWNSEND ST,"Demo existing 2 story & partial basement Office Building.  Construct new mixed-use retail and residential building 31 stories tall and approximately 300 feet in height.  The proposed project includes 374 dwelling units, 11,500 square feet of retail space, and below grade parking for 291 cars.  The project is seeking to be reviewed under the soon to be approved new Central SoMa Plan.
The PPA was submitted on 7/8/16 and the 90 day deadline is 10/6/16.",VBYRD,Planning
"4,163",2018-012284PRJ,09/07/2018 12:00:00 AM +0000,Under Review,,51 SEAL ROCK DR 94121,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,51 SEAL ROCK DR,DECKS ON UPPER AND LOWER FLOORS TO BE REMOVED AND REPLACE WITH NEW TREX. REPLACE (E) DOORS & WINDOWS. (related to case #2007.1432),EGORDON,Planning
"94,060",2009.0159,02/27/2009 12:00:00 AM +0000,Under Review,,11 OAK ST 94102,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,1540 MARKET ST,"Demolition of all existing structures on site including a 3-story, 2,750sf commercial building, a 4-story, 48,225sf commercial building, and a surface parking lot with 47 spaces, and new construction of a 304-unit, 40-story residential tower (400 feet tall, plus a 20-foot tall parapet and 26-foot tall elevator penthouse) with approximately 4,110sf of ground floor commercial space, 1 off-street loading space, 2 off-street service vehicle spaces, a subsurface, valet-operated parking garage containing 136 spaces for residents, bicycle parking accommodating 304 Class 1 and 62 Class 2 spaces, construction of a public plaza (Oak Plaza) within the Oak Street right-of-way, and construction of wind canopies within the proposed plaza, with a total of approximately 499,539 square feet of development.",APERRY,Planning
"10,448",2018-004426PRJ,03/29/2018 12:00:00 AM +0000,Under Review,,211 12TH ST 94103,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,211 12TH ST,CHANGE OF USE FROM CANNABIS MCD TO CANNABIS RETAIL,MCHRISTE,Planning
"1,624",2018-015345PIC,11/08/2018 12:00:00 AM +0000,Consultation,,85 21ST AVE 94121,PIC Research (PIC),PIC,Planning,PIC Research,Research,Planning/Research/PIC Research/PIC,85 21ST AVE,ADU Preliminary Plan Review,DWEISSGL,Planning
"1,534",2018-015414PIC,11/09/2018 12:00:00 AM +0000,Open,,204 02ND AVE 94118,PIC Research (PIC),PIC,Planning,PIC Research,Research,Planning/Research/PIC Research/PIC,204 2ND AVE,ADU waiver intake,DWEISSGL,Planning
"3,434",2018-013122PRJ,09/25/2018 12:00:00 AM +0000,Accepted,,2966 24TH ST 94110,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,2966 24TH ST,Conditional Use Authorization to permit the removal of an illegal dwelling unit and change of use back to orginal commercial.,RSUCRE,Planning
"6,556",2018-009380PRJ,07/06/2018 12:00:00 AM +0000,Under Review,,76 SAN RAFAEL WAY 94127,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,76 SAN RAFAEL WAY,ALTERATION OF FRONT FACADE ALONG SAN RAFAEL BLVD.,DGANETSO,Planning
"7,511",2018-008275PRJ,06/11/2018 12:00:00 AM +0000,Under Review,,1942 44TH AVE 94116,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,1942 44TH AVE,Comply with complaint #201853201. Legalize 2 bedroom 1 bathroom unauthorized dwelling unit per ordinance 43-14. No changes to front facade. Not a project under CEQA.,DGANETSO,Planning
"7,059",2018-008787PRJ,06/21/2018 12:00:00 AM +0000,Under Review,,4524 25TH ST 94114,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,4524 25TH ST,REVISION TO APPROVED PA #201206192959 - REBUILD FRONT STAIRS INKIND THAT COLLAPSED DURING CONSTRUCTION DUE TO DRY ROT & UNREINFORCED MASONRY,BHICKS,Planning
"18,618",2017-011155PRJ,08/30/2017 12:00:00 AM +0000,Under Review,,3122 16TH ST 94103,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,3122-3128 16TH STREET,Conditional Use Authorization (Change of Use) to establish an Outdoor Activity Area of approximately 600 square feet at the rear of a single-story commercial building for use by an existing limited restaurant (d.b.a. Stanza Cafe) and restaurant (d.b.a. The Pork Store).,ESAMONSK,Planning
"61,148",2014.1573,10/09/2014 12:00:00 AM +0000,Under Review,,"2050 VAN NESS, SAN FRANCISCO, CA 94109",Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,2050 VAN NESS AV / 1675 PACIFIC AV,Replace existing structure on site with an 8-story multi-family residential project with ground floor retail and parking.,CMAY,Planning
"1,543",2018-015439PRJ,11/09/2018 12:00:00 AM +0000,Accepted,,205 HUGO ST 94122,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,205 HUGO ST,CB3P - Conditional Use Authorization to establish a Restaurant to serve beer and wine in a currently limited restaurant.,DWEISSGL,Planning
"12,018",2018-003587PRJ,02/16/2018 12:00:00 AM +0000,Open,,2401 INGALLS ST 94124,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,2401 INGALLS STREET,"No construction or renovations to existing structures or yard space. The project proposes to increase the volume of operation. Currently, the facility is a small volume CDI debris recycling facility. Project proposes to increase to a medium tier volume permit. This would increase potential daily intake from 24 TPD to as much as 174 TPD.",VBYRD,Planning
"50,833",2015-008510PRJ,07/07/2015 12:00:00 AM +0000,Under Review,,403 IRVING ST 94122,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,403 Irving Street - Wine Meats Cheese LLC,"Change of use from a specialty grocery store to a meeting space/wine bar. No exterior changes, legalization of existing use.",,Planning
754,2018-016355PIC,12/04/2018 12:00:00 AM +0000,Open,,745 VIENNA ST 94112,PIC Research (PIC),PIC,Planning,PIC Research,Research,Planning/Research/PIC Research/PIC,745 VIENNA Street,ADU c4,DGANETSO,Planning
"6,941",2018-008966PRJ,06/26/2018 12:00:00 AM +0000,Under Review,,791 SAN JOSE AVE 94110,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,791 SAN JOSE AVE,"COMPLY N.O.V 201588231 #'S 3, 4,5 AND 6. COMPLAINT 201852102. CONVERT GROUND FLR TO FAMILY ROOM. NEW STAIRS FROM 1ST FLR TO (N) FAMILY ROOM. REPAIR HEATER. NEW WET BAR AT FAMILY ROOM AT GROUND LEVEL",MBOUDREA,Planning
"65,355",2014.0473,04/01/2014 12:00:00 AM +0000,Under Review,,"2941 HARRISON ST, SAN FRANCISCO, CA 94110",Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,2941 -2943 HARRISON ST,3 Unit Condo Conversion (DPW ECP),,Planning
"10,336",2018-004458ZAD,03/30/2018 12:00:00 AM +0000,Under Review,,1336 25TH AVE 94122,Zoning Administrator Determination Letter (ZAD),ZAD,Planning,Letters,Research,Planning/Research/Letters/ZAD,1336-1338 - 25th Avenue - ZAD Request,Request for Letter of Determination,NTRAN,Planning
"11,509",2018-003124PRJ,03/05/2018 12:00:00 AM +0000,Under Review,,667 MISSION ST 94105,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,657 & 667 MISSION ST,"MERGE LOTS AND MERGE 2 ADJACENT BUILDINGS INTO A SINGLE PARCEL. 657 MISSION IS TYPE 1B & 667 MISSION IS TYPE 3B. IMPROVEMENTS WILL INCLUDE (N) CORES W/ EGRESS STAIRS & RESTROOMS,(N)STOREFRONTS,ROOF DECK,3 HOURS HORIZONTAL EXITS BETWEEN BUILDINGS & MEP SYSTEMS.",TFRYE,Planning
"62,331",2014.1229,08/12/2014 12:00:00 AM +0000,Under Review,,"443 FOLSOM ST, SAN FRANCISCO, CA 94105",Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,443 FOLSOM ST,Restoration of painted wall sign on east facade,,Planning
"26,632",2017-002227PRJ,02/23/2017 12:00:00 AM +0000,Under Review,,21 BROMPTON AVE 94131,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,21 BROMPTON AVE,Conditional Use Authorization to permit the change of use from a vacant lot used for free parking to a parking lot for merchants and patrons of local businesses.,,Planning
"43,220",2015-018111PRJ,12/21/2015 12:00:00 AM +0000,Open,,303 GOLDEN GATE AVE 94102,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,UC Hastings IMP,"UC Hastings Institutional Master Plan. Because Hastings, like other State educational institutions, is not subject to San Franciscos local land use regulations, this IMP is submitted for Planning Commission review on a voluntary basis.",DSIDER,Planning
"1,417",2018-013744PRJ,11/14/2018 12:00:00 AM +0000,Under Review,,68 DIAMOND ST 94114,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,68 Diamond Street,3 ADUs at first floor per ord 162-16,MCHANDLE,Planning
993,2018-015846PRJ,11/28/2018 12:00:00 AM +0000,Open,,35 ONONDAGA AVE 94112,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,35-45 Onondaga Avenue,"City is offering long term, below-market-rate, leases to two non-profit, neighborhood serving organizations.  The tenants will pay for improvements to bring the vacant buildings into usable shape.  City will be contributing monies towards rehab of the shell of the building.  Prospective Tenant of 35 will be a health care clinic (Clinic by the Bay) offering services to low income individuals.  Prospective Tenant of 45 will be an art organization (ArtSpan) which will provide workspace to local artists, classes and public events, as well as access to a restored historic mural within the building.  Improvements will be undergone with all legally required permits/approvals, no environmental work has been done to date. Total square footage of both buildings is approximately 8,204 square feet. Approval action would be Board of Supervisor's adoption of 181094 (45 Onondaga Lease) 181095 (35 Onondaga Lease)",LLYNCH,Planning
"4,416",2018-011956PRJ,08/31/2018 12:00:00 AM +0000,Under Review,,1644 TARAVAL ST 94116,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,1644 TARAVAL ST,"DEMOLISH 1-STORY, OFFICE BUILDING
ERECT 3-STORY, TYPE 5, 2 DWELLING UNITS WITH COMMERCIAL BUILDING",BHICKS,Planning
875,2018-015717PRJ,11/30/2018 12:00:00 AM +0000,Accepted,,4326 IRVING ST 94122,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,4326-4336 IRVING ST,ADU WAIVER INTAKE. ADD (5) (N) DWELLING UNITS ON GROUND LVL IN (E) CARPORT. ALL WORK WITHIN (E) ENVELOPE IN ACCORDING WITH PLANNING ORD 30-13 & ADU ORD 162-16. CONSOLIDATE EGRESS STAIRWELL FROM 4 TO 2 DUE TO MERGED LOTS. ADD (14)(N) BICYCLE PARKING SPACE. VOLUNTARY SOFT STORY UPGRADE IN ACCORDANCE W/ AB-107.,MBOUDREA,Planning
"10,273",2018-004636PRJ,04/03/2018 12:00:00 AM +0000,Under Review,,33 29TH ST 94110,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,33 29TH ST,CHANGE OF USE. EXISTING MEDICAL CANNABIS DISP TO CANNABIS RETAIL ORIG APPL 200505182807 (0 PLAN). MAHER N/A.,MCHRISTE,Planning
616,2018-016493PRJ,12/07/2018 12:00:00 AM +0000,Under Review,,200 MADRID ST 94112,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,200 MADRID ST,(N) 2-STORY SPIRAL STAIR TO REAR YARD. (N) WINDOW @ REAR FACADE.,DWASHING,Planning
"30,783",2016-014124PRL,10/31/2016 12:00:00 AM +0000,Open,,540 MIRAMAR AVE 94112,Project Light (PRL),PRL,Planning,Project,Project,Planning/Project/Project/PRL,540 MIRAMAR AVE,"Repair front porch in kind, no other work and no expansion.",KHADDADA,Planning
"5,369",2018-010874ZAD,08/08/2018 12:00:00 AM +0000,Under Review,,5511 MISSION ST 94112,Zoning Administrator Determination Letter (ZAD),ZAD,Planning,Letters,Research,Planning/Research/Letters/ZAD,5511 Mission Street - ZAD Request,Request for Letter of Determination - Medical Cannabis Dispensary Facility,CCAMPBEL,Planning
48,2018-017213PRJ,12/24/2018 12:00:00 AM +0000,Accepted,,140 DIVISADERO ST 94117,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,140 DIVISADERO ST,"PROVIDE NEW PRIVATE ROOF DECK OF 65 SQ FT OVER EXISTING UNOCCUPIED ROOF, OVER BAY BELOW EXISTING 4TH FLOOR. PROVIDE NEW GUARD, PROVIDE NEW ACCESS DOOR ON 4TH FLOOR UNIT TO DECK.",EGORDON,Planning
"33,228",2016-011402PRJ,09/02/2016 12:00:00 AM +0000,Under Review,,901 DIVISADERO ST 94115,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,1600-1604 McAllister St - Unit Legalization,"Legalize a tenth (10th) dwelling unit (Unit #10) at second (floor and mezzanine) and third floors of existing nine-family three-story mixed-use building, per Section 207.3 (Ord. 43-14). New stair at 3rd Floor. New window at 3rd Floor, not visible from public right-of-way.",MBOUDREA,Planning
"55,743",2015-002825PRJ,03/06/2015 12:00:00 AM +0000,On Hold,,1965 MARKET ST 94103,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,1965 Market Street,"The proposed project is to construct a mixed-use building with approximately 3,760 sf of ground-floor retail, below grade parking for 48 spaces, and 96 residential units.  The existing faade of the subject property, along with a limited portion of the existing building lobby and core, would be maintained and integrated into the new building. Along Market Street the proposed project would rise to a total height of 72 feet in seven levels. Immediately to the east on the site of a 9,000 sf parking lot on Duboce Avenue, new construction would rise to a total height of 83 feet in eight levels. The total square footage for the proposed project is just over 101,965 sf.",EGORDON,Planning
"27,190",2017-001590PRJ,02/07/2017 12:00:00 AM +0000,Under Review,,219 06TH ST 94103,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,219 06TH ST,Conditional Use Authorization to permit a change of use from a 2-unit dwelling with 19 guestrooms to a building with 30 SRO guest rooms.,KDURANDE,Planning
"9,462",2018-006863PRJ,04/23/2018 12:00:00 AM +0000,Under Review,,1263 CLAY ST 94108,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,1263 - 1265 CLAY STREET,"The removal of an existing 3 car garage at the eastern portion of the lot, and replacement with a new SFR. The new SFR will include an integral garage with 2 car parking. The existing 2 unit residential building on the western portion of the lot will remain, without modifications. The proposed structure will be approximately 40 feet tall and 3,205 square feet.",SADINA,Planning
"18,532",2017-004557PRJ,09/01/2017 12:00:00 AM +0000,Submitted,,550 OFARRELL ST 94102,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,550 OFARRELL ST,"Demolish existing 2 story parking garage with basement. Build a 13 story over residential tower with 115 units, 2 levels of parking at grade and basement level with 21 parking stalls. Ground floor contains lobby, leasing office and a small retail space. Open space is provided with some private balconies and two large common open space areas; one on level 2 and the other at the roof.",VBYRD,Planning
