OBJECTID,record_id,date_opened,record_status,date_closed,Full,record_type,record_type_category,record_type_group,record_type_subtype,record_type_type,record_type_4level,Address,description,planner_id,module,City,State,Zip,address,record_name
305,2018-016890ZAV,12/17/2018 12:00:00 AM +0000,Under Review,,816 MCALLISTER ST 94102,Zoning Administrator Verification Letter (ZAV),ZAV,Planning,Letters,Research,Planning/Research/Letters/ZAV,816 McAllister Street - ZAV Request,Zoning Verification Letter Request,DBROSKY,Planning,San Francisco,Ca,94102,,
"63,782",2014.0844N,06/05/2014 12:00:00 AM +0000,TDR Letter Issued,11/21/2014 12:00:00 AM +0000,"1000 MARKET ST, SAN FRANCISCO, CA 94102",Certificate of Transfer-TDR (TDT),TDT,Planning,Letters,Research,Planning/Research/Letters/TDT,1000 MARKET ST,Certificate of Transfer for Transferable Development Rights (from a Transfer Lot),KGUY,Planning,San Francisco,Ca,94102,,
"79,463",10152ZAD,01/17/2012 12:00:00 AM +0000,Accepted,,39 ARKANSAS ST 94107,Zoning Administrator Determination Letter (ZAD),ZAD,Planning,Letters,Research,Planning/Research/Letters/ZAD,1 Arkansas (aka 39-41 Arkansas) - EN Legitimization Request,Eastern Neighborhoods Legitimization Letter,CTEAGUE,Planning,San Francisco,Ca,94107,,
"94,060",2009.0159,02/27/2009 12:00:00 AM +0000,Under Review,,11 OAK ST 94102,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,1540 MARKET ST,"Demolition of all existing structures on site including a 3-story, 2,750sf commercial building, a 4-story, 48,225sf commercial building, and a surface parking lot with 47 spaces, and new construction of a 304-unit, 40-story residential tower (400 feet tall, plus a 20-foot tall parapet and 26-foot tall elevator penthouse) with approximately 4,110sf of ground floor commercial space, 1 off-street loading space, 2 off-street service vehicle spaces, a subsurface, valet-operated parking garage containing 136 spaces for residents, bicycle parking accommodating 304 Class 1 and 62 Class 2 spaces, construction of a public plaza (Oak Plaza) within the Oak Street right-of-way, and construction of wind canopies within the proposed plaza, with a total of approximately 499,539 square feet of development.",APERRY,Planning,San Francisco,Ca,94102,,
"10,448",2018-004426PRJ,03/29/2018 12:00:00 AM +0000,Under Review,,211 12TH ST 94103,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,211 12TH ST,CHANGE OF USE FROM CANNABIS MCD TO CANNABIS RETAIL,MCHRISTE,Planning,San Francisco,Ca,94103,,
"3,434",2018-013122PRJ,09/25/2018 12:00:00 AM +0000,Accepted,,2966 24TH ST 94110,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,2966 24TH ST,Conditional Use Authorization to permit the removal of an illegal dwelling unit and change of use back to orginal commercial.,RSUCRE,Planning,San Francisco,Ca,94110,,
"7,059",2018-008787PRJ,06/21/2018 12:00:00 AM +0000,Under Review,,4524 25TH ST 94114,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,4524 25TH ST,REVISION TO APPROVED PA #201206192959 - REBUILD FRONT STAIRS INKIND THAT COLLAPSED DURING CONSTRUCTION DUE TO DRY ROT & UNREINFORCED MASONRY,BHICKS,Planning,San Francisco,Ca,94114,,
"61,148",2014.1573,10/09/2014 12:00:00 AM +0000,Under Review,,"2050 VAN NESS, SAN FRANCISCO, CA 94109",Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,2050 VAN NESS AV / 1675 PACIFIC AV,Replace existing structure on site with an 8-story multi-family residential project with ground floor retail and parking.,CMAY,Planning,San Francisco,Ca,94109,,
"1,543",2018-015439PRJ,11/09/2018 12:00:00 AM +0000,Accepted,,205 HUGO ST 94122,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,205 HUGO ST,CB3P - Conditional Use Authorization to establish a Restaurant to serve beer and wine in a currently limited restaurant.,DWEISSGL,Planning,San Francisco,Ca,94122,,
"12,018",2018-003587PRJ,02/16/2018 12:00:00 AM +0000,Open,,2401 INGALLS ST 94124,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,2401 INGALLS STREET,"No construction or renovations to existing structures or yard space. The project proposes to increase the volume of operation. Currently, the facility is a small volume CDI debris recycling facility. Project proposes to increase to a medium tier volume permit. This would increase potential daily intake from 24 TPD to as much as 174 TPD.",VBYRD,Planning,San Francisco,Ca,94124,,
"10,336",2018-004458ZAD,03/30/2018 12:00:00 AM +0000,Under Review,,1336 25TH AVE 94122,Zoning Administrator Determination Letter (ZAD),ZAD,Planning,Letters,Research,Planning/Research/Letters/ZAD,1336-1338 - 25th Avenue - ZAD Request,Request for Letter of Determination,NTRAN,Planning,San Francisco,Ca,94122,,
"11,509",2018-003124PRJ,03/05/2018 12:00:00 AM +0000,Under Review,,667 MISSION ST 94105,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,657 & 667 MISSION ST,"MERGE LOTS AND MERGE 2 ADJACENT BUILDINGS INTO A SINGLE PARCEL. 657 MISSION IS TYPE 1B & 667 MISSION IS TYPE 3B. IMPROVEMENTS WILL INCLUDE (N) CORES W/ EGRESS STAIRS & RESTROOMS,(N)STOREFRONTS,ROOF DECK,3 HOURS HORIZONTAL EXITS BETWEEN BUILDINGS & MEP SYSTEMS.",TFRYE,Planning,San Francisco,Ca,94105,,
"26,632",2017-002227PRJ,02/23/2017 12:00:00 AM +0000,Under Review,,21 BROMPTON AVE 94131,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,21 BROMPTON AVE,Conditional Use Authorization to permit the change of use from a vacant lot used for free parking to a parking lot for merchants and patrons of local businesses.,,Planning,San Francisco,Ca,94131,,
"43,220",2015-018111PRJ,12/21/2015 12:00:00 AM +0000,Open,,303 GOLDEN GATE AVE 94102,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,UC Hastings IMP,"UC Hastings Institutional Master Plan. Because Hastings, like other State educational institutions, is not subject to San Franciscos local land use regulations, this IMP is submitted for Planning Commission review on a voluntary basis.",DSIDER,Planning,San Francisco,Ca,94102,,
993,2018-015846PRJ,11/28/2018 12:00:00 AM +0000,Open,,35 ONONDAGA AVE 94112,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,35-45 Onondaga Avenue,"City is offering long term, below-market-rate, leases to two non-profit, neighborhood serving organizations.  The tenants will pay for improvements to bring the vacant buildings into usable shape.  City will be contributing monies towards rehab of the shell of the building.  Prospective Tenant of 35 will be a health care clinic (Clinic by the Bay) offering services to low income individuals.  Prospective Tenant of 45 will be an art organization (ArtSpan) which will provide workspace to local artists, classes and public events, as well as access to a restored historic mural within the building.  Improvements will be undergone with all legally required permits/approvals, no environmental work has been done to date. Total square footage of both buildings is approximately 8,204 square feet. Approval action would be Board of Supervisor's adoption of 181094 (45 Onondaga Lease) 181095 (35 Onondaga Lease)",LLYNCH,Planning,San Francisco,Ca,94112,,
"4,416",2018-011956PRJ,08/31/2018 12:00:00 AM +0000,Under Review,,1644 TARAVAL ST 94116,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,1644 TARAVAL ST,"DEMOLISH 1-STORY, OFFICE BUILDINGERECT 3-STORY, TYPE 5, 2 DWELLING UNITS WITH COMMERCIAL BUILDING",BHICKS,Planning,San Francisco,Ca,94116,,
"10,273",2018-004636PRJ,04/03/2018 12:00:00 AM +0000,Under Review,,33 29TH ST 94110,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,33 29TH ST,CHANGE OF USE. EXISTING MEDICAL CANNABIS DISP TO CANNABIS RETAIL ORIG APPL 200505182807 (0 PLAN). MAHER N/A.,MCHRISTE,Planning,San Francisco,Ca,94110,,
"30,783",2016-014124PRL,10/31/2016 12:00:00 AM +0000,Open,,540 MIRAMAR AVE 94112,Project Light (PRL),PRL,Planning,Project,Project,Planning/Project/Project/PRL,540 MIRAMAR AVE,"Repair front porch in kind, no other work and no expansion.",KHADDADA,Planning,San Francisco,Ca,94112,,
"5,369",2018-010874ZAD,08/08/2018 12:00:00 AM +0000,Under Review,,5511 MISSION ST 94112,Zoning Administrator Determination Letter (ZAD),ZAD,Planning,Letters,Research,Planning/Research/Letters/ZAD,5511 Mission Street - ZAD Request,Request for Letter of Determination - Medical Cannabis Dispensary Facility,CCAMPBEL,Planning,San Francisco,Ca,94112,,
"55,743",2015-002825PRJ,03/06/2015 12:00:00 AM +0000,On Hold,,1965 MARKET ST 94103,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,1965 Market Street,"The proposed project is to construct a mixed-use building with approximately 3,760 sf of ground-floor retail, below grade parking for 48 spaces, and 96 residential units.  The existing faade of the subject property, along with a limited portion of the existing building lobby and core, would be maintained and integrated into the new building. Along Market Street the proposed project would rise to a total height of 72 feet in seven levels. Immediately to the east on the site of a 9,000 sf parking lot on Duboce Avenue, new construction would rise to a total height of 83 feet in eight levels. The total square footage for the proposed project is just over 101,965 sf.",EGORDON,Planning,San Francisco,Ca,94103,,
"27,190",2017-001590PRJ,02/07/2017 12:00:00 AM +0000,Under Review,,219 06TH ST 94103,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,219 06TH ST,Conditional Use Authorization to permit a change of use from a 2-unit dwelling with 19 guestrooms to a building with 30 SRO guest rooms.,KDURANDE,Planning,San Francisco,Ca,94103,,
"9,462",2018-006863PRJ,04/23/2018 12:00:00 AM +0000,Under Review,,1263 CLAY ST 94108,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,1263 - 1265 CLAY STREET,"The removal of an existing 3 car garage at the eastern portion of the lot, and replacement with a new SFR. The new SFR will include an integral garage with 2 car parking. The existing 2 unit residential building on the western portion of the lot will remain, without modifications. The proposed structure will be approximately 40 feet tall and 3,205 square feet.",SADINA,Planning,San Francisco,Ca,94108,,
"1,363",2018-015607PRL,11/15/2018 12:00:00 AM +0000,Under Review,,1763 STOCKTON ST 94133,Project Light (PRL),PRL,Planning,Project,Project,Planning/Project/Project/PRL,1763 Stockton Street - ATT WTS Facility,ATT is requesting approval for modification of existing Macro WTS facility,AWOODS,Planning,San Francisco,Ca,94133,,
"25,691",2017-003243PRJ,03/16/2017 12:00:00 AM +0000,Under Review,,1521 MASONIC AVE 94117,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,1521 MASONIC AVE,Variance request from the rear-yard requirement to permit infill at the rear corner of an existing SFH.,,Planning,San Francisco,Ca,94117,,
"63,327",2014.0969,06/25/2014 12:00:00 AM +0000,Under Review,,2889 JENNINGS ST 94124,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,1298 Fitzgerald Ave / 2889 Jennings St,"Demolition of an existing 2,190 sq. ft. dwelling and construction of a four-story, 22,803 sq. ft. nine-unit dwelling with ten off-street parking spaces and 1,.975 sf of combined private/common open space.",MCHRISTE,Planning,San Francisco,Ca,94124,,
"16,126",2017-014685PRJ,10/30/2017 12:00:00 AM +0000,Open,,1101 09TH AVE 94122,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,SF REC & PARK - Golden Gate Park (Stanyan Street Frontage),SF REC & PARK: Golden Gate Park Stanyan Street Frontage Improvement Project - Kiosk Improvement Area; Stanyan Street Frontage Improvements; Page Street & Haight Street Entrance Areas; Oak Woodland Improvements.,VBYRD,Planning,San Francisco,Ca,94122,,
"8,780",2018-007764PRJ,05/09/2018 12:00:00 AM +0000,Submitted,,3641 CALIFORNIA ST 94118,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,3641 CALIFORNIA STREET,"Project consist of the demolition of the existing two-story institutional building (currently used as doctors offices) and surface parking lot, and the construction of a new four-story building with 6 dwelling units, 6 off-street parking spaces, 7 Class 1 bicycle spaces, and ground floor retail. The building will be 18,030 s/f in size, with 872 s/f of retail, 3,058 s/f of parking, and 14,100 s/f of residential uses.",VBYRD,Planning,San Francisco,Ca,94118,,
"61,722",2014.1375,09/09/2014 12:00:00 AM +0000,Under Review,,,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,DPW Official Sidewalk Change 280 Beal Street,Transbay Block 6 (280 Beale Street) is a mixed-use 35 story tower and affordable mid-rise housing development with street-front retail.  Transbay Block 7 (255 Fremont Street) consists .,,Planning,San Francisco,Ca,,,
"1,320",2018-015695PRL,11/16/2018 12:00:00 AM +0000,Under Review,,2 HENRY ADAMS ST 94103,Project Light (PRL),PRL,Planning,Project,Project,Planning/Project/Project/PRL,2 Henry Adams - ATT WTS Facility,ATT is requesting approval for modification of existing Macro WTS facility,AWOODS,Planning,San Francisco,Ca,94103,,
"35,709",2016-008515PRJ,06/29/2016 12:00:00 AM +0000,Under Review,,1049 MARKET ST 94103,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,1049 MARKET ST,TO COMPLY WITH NOTICE OF VIOLATION #200711850. DEMO OF OFFICE WALLS ON 5TH FLOOR THROUGH 1ST FLOOR. SFAB-017,CASBAGH,Planning,San Francisco,Ca,94103,,
60,2018-017158PRJ,12/21/2018 12:00:00 AM +0000,Accepted,,2373 PACIFIC AVE 94115,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,2373 PACIFIC AVE,INSTALL NEW EXTERIOR STORAGE UNIT,EGORDON,Planning,San Francisco,Ca,94115,,
"14,141",2018-002857PRJ,12/21/2017 12:00:00 AM +0000,Open,,350 TERESITA BLVD 94127,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,350 TERESITA BLVD.,Enlarge and center the front window.,VBYRD,Planning,San Francisco,Ca,94127,,
"13,628",2018-003865PRJ,01/04/2018 12:00:00 AM +0000,Open,,1801 EVANS AVE 94124,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,1801 EVANS AVENUE,"Increase tonnage. The materials expect to be handling will consist of wood, asphalt/concrete/brick/tile/dirt, metal, paper/cardboard, glass, aluminum, plastic, and other miscellaneous. All hazardous materials or other contaminants are prohibited from being delivered to our operation. This information is given to our customers both verbally and in written form.",VBYRD,Planning,San Francisco,Ca,94124,,
"38,059",2016-005805PRJ,05/04/2016 12:00:00 AM +0000,Under Review,,430 BROADWAY 94133,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,430 Broadway - Restaurant - CB3P,Request for Conditional Use Authorization to establish restaurant Cafe' for Burgers and re-install equipment.,GPANTOJA,Planning,San Francisco,Ca,94133,,
"73,044",2013.0253,03/01/2013 12:00:00 AM +0000,Under Review,,655 FOLSOM ST 94107,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,655 FOLSOM ST,"Large Project Authorization request the property is currently occupied by a two-story commercial building occupied by a restaurant.  The project will include demolition of the existing building and construction of a new 14 story mixed use building including 89 dwelling units, ground floor commercial space of 2,300 sf and 36 below grade parking spaces.",MCHRISTE,Planning,San Francisco,Ca,94107,,
"5,278",2018-010953PRJ,08/09/2018 12:00:00 AM +0000,Under Review,,101 SAINT MARYS AVE 94112,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,101 SAINT MARYS AVE,CHANGE OF USE OF AN (E) OFFICE (277 SF) TO A COFFEE SHOP. NO CHANGE TO (E) RESIDENTIAL USE & UNITS. PROVIDE (N) ACCESSIBLE ENTRY W/ (N) WINDOWS,CCAMPBEL,Planning,San Francisco,Ca,94112,,
"62,795",2014.1125,07/18/2014 12:00:00 AM +0000,Under Review,,4320 MISSION ST 94112,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,4320 MISSION STREET,"Merging Lots 001, 045. Demolish existing single story restaurant. Constructing a new four-story mixed-use structure including 9 residential dwelling units, 2,070 sq.ft. first floor commercial space, 4 vehicle parking spaces and 9 Class 1 bicycle parking spaces in an off-street parking garage.",NTRAN,Planning,San Francisco,Ca,94112,,
"6,061",2018-010007PRL,07/20/2018 12:00:00 AM +0000,Open,,1922 32ND AVE 94116,Project Light (PRL),PRL,Planning,Project,Project,Planning/Project/Project/PRL,1922 32ND AVE,Replace 2 front windows and 2 rear windows with Fibrex,LBARATA,Planning,San Francisco,Ca,94116,,
"7,224",2018-008620PRJ,06/18/2018 12:00:00 AM +0000,Under Review,,689 14TH ST 94114,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,693 14TH ST,"Conditional Use Authorization request for change of use to relocate an established Public Facility (DBA Castro/Upper Market Community Benefit District) to a 1,031 sf ground floor tenant space.",MCHANDLE,Planning,San Francisco,Ca,94114,,
"42,409",2016-000559PRJ,01/13/2016 12:00:00 AM +0000,Under Review,,1080 BUSH ST 94109,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,Academy of Art University (AAU),"Academy of Art University - Conversion of properties for use by Academy of Art University. Previous, current, and planned building improvements and changes of use to serve as campus facilities;",APERRY,Planning,San Francisco,Ca,94109,,
"50,282",2015-009151PRJ,07/20/2015 12:00:00 AM +0000,Under Review,07/12/2018 12:00:00 AM +0000,2250 JENNINGS ST 94124,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,2250 JENNINGS ST,"DEMOLISH 1-STORY, TYPE 3, MODERATE-HAZARD STORAGE BUILDING.",XLIANG,Planning,San Francisco,Ca,94124,,
"52,801",2015-006356PRJ,05/20/2015 12:00:00 AM +0000,Under Review,,336 PIERCE ST 94117,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,336 PIERCE ST,Reconstruction of an existing garage with dwelling unit in the rear yard.,MDITO,Planning,San Francisco,Ca,94117,,
"13,338",2018-001010PRJ,01/17/2018 12:00:00 AM +0000,Under Review,,31 ROMAIN ST 94114,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,31 ROMAIN ST,TO COMPLY WITH NOV# 201714432. NEW TRELLIS & SUN COVER @ (E) DECK.,GPANTOJA,Planning,San Francisco,Ca,94114,,
"2,172",2018-014701PRJ,10/26/2018 12:00:00 AM +0000,Under Review,,26 HILL ST 94110,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,26 HILL ST,EXPAND UNIT INTO EXISTING UNCONDITIONED GROUND FLOOR SPACE UNDER SECOND FLOOR DWELLING UNIT.,RSALGADO,Planning,San Francisco,Ca,94110,,
"70,511",2013.0846,06/24/2013 12:00:00 AM +0000,Under Review,,"142 jasper, SAN FRANCISCO, CA",Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,146 - 148 Jasper Place,Renovation of an existing two unit building and new construction of a two unit residential building on the same lot.,CGROB,Planning,San Francisco,Ca,,,
"15,658",2017-013728PRJ,11/09/2017 12:00:00 AM +0000,Open,,1021 VALENCIA ST 94110,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,1021 VALENCIA ST,"SF Planning Design: Proposed project will have 20 dwelling units. Project would meet affordable housing component with 2 BMR dwelling units. Project would meet affordable housing component with 2 BMR dwelling units. Owner may decide to utilize 20% inclusionary in lieu fee instead of adding BMR on site. Fround floor would provide 3,400 sf +/- retail with a 750sf rear yared and potential restaurant infrastructure. State Density Bonus: Proposed project will have 24 dwelling units within a 6 floor building. Project would meet affordable housing component with 2 BMR dwelling units. Owner may decide to utilize 20% inclusionary in lieu fee instead of adding BMR on site. Fround floor would provide 3,400 sf +/- retail with a 750sf rear yared and potential restaurant infrastructure.",VBYRD,Planning,San Francisco,Ca,94110,,
"9,933",2018-005502PRJ,04/11/2018 12:00:00 AM +0000,Under Review,,80 LYELL ST 94112,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,80 LYELL ST,REVISION TO PA# 201802272348. INSTALL NEW RESTROOM AT (E) STORAGE ROOM AT GROUND FLR. REF #200705242207,SJIMENEZ,Planning,San Francisco,Ca,94112,,
"8,496",2018-007204PRJ,05/16/2018 12:00:00 AM +0000,Under Review,,754 35TH AVE 94121,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,754 35TH AVE,"Retain existing building in the rear, and construct a new two unit building in the front of the parcel. New construction of 4 story, 40 ft tall, approximately 5,986 square foot, two unit building.CEQA Approval Action: Planning Commission Conditional Use Authorization 2018-007204ENV",LAJELLO,Planning,San Francisco,Ca,94121,,
"45,484",2015-014840PRJ,11/09/2015 12:00:00 AM +0000,Under Review,,10 UNITED NATIONS PLZ 94102,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,10 UNITED NATIONS PLZ,Major Modification to an existing Verizon Wireless Macro Wireless Telecommunications Services (WTS) Facility on rooftop of subject building.,OMASRY,Planning,San Francisco,Ca,94102,,
"1,922",2018-014932PRL,11/01/2018 12:00:00 AM +0000,Under Review,,920 LEAVENWORTH ST 94109,Project Light (PRL),PRL,Planning,Project,Project,Planning/Project/Project/PRL,920 Leavenworth  - ATT Mobility PROW WTS Facility Installation,ATT Mobility is requesting approval for modification of existing Macro WTS facility,AWOODS,Planning,San Francisco,Ca,94109,,
"62,392",2014.1212,08/08/2014 12:00:00 AM +0000,Under Review,,"1717 17TH ST, SAN FRANCISCO, CA 94107",Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,415 DE HARO ST,Conditional Use Authorization request to change use from vacant retail space to a Formula Retail Limited Restaurant (Philz Coffee).,,Planning,San Francisco,Ca,94107,,
"49,628",2015-009832PRJ,07/31/2015 12:00:00 AM +0000,Under Review,,44 TEHAMA ST 94105,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,44 Tehama Street,ERECT ONE ILLUMINATED ELECTRIC SINGLE FACED WALL SIGN.,CTOWNES,Planning,San Francisco,Ca,94105,,
"72,456",2013.0339Y,03/21/2013 12:00:00 AM +0000,On Hold,,"222 02ND ST, SAN FRANCISCO, CA 94105",Notice of Use-TDR (TDU),TDU,Planning,Letters,Research,Planning/Research/Letters/TDU,222 02ND ST,Transfer of Development Rights (TDR),CGROB,Planning,San Francisco,Ca,94105,,
491,2018-016667PRJ,12/11/2018 12:00:00 AM +0000,Accepted,,3307 SACRAMENTO ST 94118,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,3307 SACRAMENTO ST,Conditional Use Authorization for change of use that will include on site retail sales with existing real estate office.,MBOUDREA,Planning,San Francisco,Ca,94118,,
"5,225",2018-011120PRL,08/10/2018 12:00:00 AM +0000,Under Review,,740 TENNESSEE ST 94107,Project Light (PRL),PRL,Planning,Project,Project,Planning/Project/Project/PRL,740 Tennessee,Environmental review two building permit applications to determine whether CE can be issued. Ist application involved foundation reinforcement of existing residence.  Second application is to excavate out 900 cy to create full height basement.,SMORGAN,Planning,San Francisco,Ca,94107,,
